danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.842,0.699,11,-6.039,0,0.266,0.29,0.0,0.281,0.355,92.866,240466,4
0.86,0.393,8,-13.725,1,0.0855,0.459,0.0,0.128,0.319,119.953,242712,4
0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657,213707,4
0.551,0.386,0,-10.22,1,0.132,0.659,0.0,0.125,0.245,116.409,199387,1
0.789,0.786,2,-4.788,1,0.297,0.596,0.0,0.0997,0.39,119.957,248040,4
0.665,0.619,10,-8.327,0,0.0663,0.596,0.0,0.14,0.541,137.043,138115,4
0.447,0.362,10,-6.34,1,0.0829,0.69,0.156,0.13,0.414,70.751,121600,4
0.745,0.537,0,-5.664,0,0.031,0.225,0.0,0.154,0.203,140.069,189493,4
0.212,0.177,0,-21.863,0,0.0353,0.932,0.0659,0.109,0.082,139.24,50693,3
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
0.826,0.818,7,-6.057,1,0.12,0.0216,0.00174,0.132,0.429,115.069,163562,4
0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
0.912,0.598,6,-7.718,0,0.0877,0.0718,1.12e-06,0.0892,0.533,98.006,180840,4
0.53,0.718,0,-6.481,1,0.0363,0.00474,0.0,0.0758,0.354,76.996,227547,4
0.331,0.607,0,-4.786,1,0.0676,0.0812,1.59e-05,0.23,0.118,158.737,243213,4
0.524,0.805,4,-4.08,0,0.065,0.062,0.0,0.209,0.354,152.044,230587,4
0.814,0.349,6,-7.566,0,0.0432,0.301,0.0359,0.0949,0.422,124.003,234998,4
0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
0.594,0.516,9,-7.848,0,0.0315,0.198,2.99e-05,0.0736,0.154,108.018,191530,4
0.811,0.797,5,-5.428,1,0.165,0.0617,0.0,0.112,0.541,97.988,171133,4
0.757,0.637,3,-7.508,0,0.127,0.0564,0.0,0.0753,0.402,104.891,238493,4
0.886,0.664,4,-5.497,0,0.191,0.263,0.0,0.0978,0.599,126.02,140360,4
0.926,0.592,1,-6.47,1,0.308,0.0986,3.41e-05,0.126,0.579,140.062,140571,4
0.738,0.715,11,-5.499,0,0.0524,0.0217,0.0,0.323,0.899,110.957,201200,4
0.692,0.443,1,-5.671,1,0.0386,0.214,0.0,0.06,0.363,127.899,178800,4
0.546,0.572,4,-5.187,0,0.108,0.32,0.0,0.208,0.42,99.631,139211,4
0.494,0.945,0,-3.608,1,0.299,0.0131,2.45e-05,0.135,0.398,178.986,235367,4
0.61,0.87,2,-4.012,0,0.0693,0.00299,0.0,0.064,0.523,125.014,211360,4
0.377,0.651,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,219742,4
0.858,0.568,11,-5.623,0,0.217,0.223,0.0,0.122,0.757,101.02,165987,4
0.691,0.667,7,-4.406,1,0.269,0.0436,0.0,0.11,0.69,159.941,170693,4
0.667,0.759,9,-4.059,1,0.0513,0.000671,0.0,0.0329,0.711,104.041,192587,4
0.606,0.9,0,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,216504,4
0.657,0.743,2,-3.753,1,0.0405,0.325,0.0,0.227,0.44,108.036,206625,4
0.773,0.72,8,-5.537,0,0.0283,0.0332,0.0,0.073,0.432,127.984,161280,4
