danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.689,0.862,1,-3.781,1,0.0535,0.00788,1.47e-05,0.217,0.251,140.027,230002,4
0.723,0.695,9,-5.201,0,0.0586,0.0105,0.00355,0.0459,0.604,127.989,373627,4
0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,267000,4
0.556,0.881,7,-2.224,1,0.082,0.00119,0.0,0.0709,0.337,104.973,213697,1
0.653,0.569,9,-7.917,0,0.0584,0.0582,0.0,0.099,0.491,121.936,239520,4
0.83,0.614,8,-9.114,1,0.209,0.376,0.000166,0.113,0.822,121.016,195373,4
0.586,0.775,0,-9.123,1,0.393,0.12,0.0,0.144,0.234,111.471,175680,4
0.417,0.54,8,-10.327,1,0.0545,0.133,0.0,0.161,0.263,127.01,238413,4
0.715,0.468,2,-7.664,0,0.147,0.0994,0.0,0.125,0.673,194.902,236373,3
0.559,0.565,3,-8.534,1,0.0498,0.668,0.000315,0.272,0.344,108.241,308307,3
0.506,0.739,10,-7.832,0,0.0529,0.151,0.2,0.104,0.357,128.221,233383,4
0.759,0.557,8,-5.703,1,0.101,0.177,0.0,0.0419,0.138,75.008,232853,4
0.447,0.825,9,-5.54,0,0.0702,0.00979,0.0365,0.295,0.138,86.993,231724,4
0.737,0.711,2,-5.764,1,0.28,0.555,0.0,0.29,0.6,96.119,164624,4
0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,240440,4
0.47,0.422,5,-7.474,1,0.0522,0.177,0.000216,0.0879,0.218,149.505,230961,4
0.814,0.779,11,-3.271,1,0.235,0.175,0.000671,0.0605,0.544,93.43,268005,4
0.64,0.848,3,-4.415,0,0.0985,0.243,2.16e-05,0.109,0.528,96.997,294867,4
0.727,0.243,1,-10.426,1,0.0575,0.67,0.0,0.0906,0.395,140.058,224667,4
0.611,0.727,7,-9.008,1,0.329,0.0329,0.773,0.102,0.567,91.948,174765,4
0.82,0.663,5,-9.726,0,0.0518,0.0508,0.0604,0.374,0.97,103.417,251680,4
0.587,0.916,3,-4.578,1,0.0349,0.0445,0.00427,0.117,0.702,128.706,314973,4
0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,4
0.568,0.772,10,-4.435,1,0.0368,0.579,0.0272,0.0774,0.0751,140.024,176024,4
0.698,0.6,2,-6.747,0,0.0342,0.0741,0.205,0.148,0.39,121.991,166352,4
0.538,0.829,1,-3.536,0,0.0567,0.601,4.48e-05,0.0963,0.902,110.881,186533,3
0.613,0.582,5,-6.255,0,0.17,0.418,7.72e-05,0.12,0.286,134.227,244030,4
0.472,0.746,6,-3.649,1,0.119,0.072,0.0,0.116,0.42,173.955,196040,4
0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
0.664,0.884,11,-4.877,0,0.363,0.783,0.0,0.143,0.58,83.851,277413,4
0.569,0.812,0,-7.974,0,0.0463,0.00373,0.861,0.112,0.48,136.984,228400,4
0.273,0.102,0,-16.843,0,0.0494,0.903,0.721,0.268,0.0583,120.378,589095,4
0.328,0.633,7,-5.699,1,0.0761,0.183,1.44e-06,0.0703,0.297,186.598,198711,3
0.603,0.758,1,-1.869,1,0.248,0.431,0.0,0.147,0.236,124.081,168960,4
0.719,0.461,11,-11.338,0,0.037,0.0298,0.801,0.0634,0.104,110.991,367307,4
