danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.917,0.592,0,-8.084,1,0.438,0.354,0.0,0.261,0.875,135.032,175151,4
0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667,4
0.69,0.618,2,-9.36,1,0.0904,0.0175,3.26e-06,0.0891,0.733,174.038,240893,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
0.533,0.896,1,-6.135,0,0.119,0.0144,0.0275,0.359,0.349,169.665,180667,4
0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,205400,4
0.626,0.571,7,-7.461,0,0.0327,0.25,0.0,0.0946,0.164,129.959,277623,4
0.765,0.711,9,-6.546,1,0.196,0.0274,0.0,0.108,0.511,121.986,173115,4
0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4
0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
0.839,0.805,9,-6.128,0,0.111,0.185,0.0,0.0547,0.699,96.021,273709,4
0.911,0.744,4,-7.017,0,0.279,0.378,1.92e-05,0.257,0.792,122.05,169259,4
0.554,0.497,4,-7.914,0,0.352,0.554,0.0,0.0871,0.459,84.499,228413,4
0.54,0.812,5,-8.336,1,0.0373,0.00436,0.954,0.11,0.0578,120.006,256008,4
0.785,0.792,9,-4.695,0,0.0641,0.0104,0.0,0.104,0.528,155.036,249600,4
0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
0.879,0.427,5,-8.761,1,0.0413,0.698,0.0,0.163,0.434,100.0,147300,4
0.535,0.6,7,-6.996,0,0.0443,0.000639,0.609,0.338,0.412,119.897,180867,4
0.764,0.61,5,-5.499,0,0.0888,0.062,0.0,0.191,0.658,140.074,191493,4
0.732,0.508,0,-6.717,1,0.0378,0.454,0.0,0.0933,0.345,125.964,206507,4
0.71,0.641,11,-5.0,0,0.1,0.46,0.536,0.123,0.206,93.04,170646,4
0.746,0.523,9,-7.416,1,0.0286,0.597,3.38e-05,0.126,0.444,115.997,192880,4
0.782,0.799,4,-5.905,0,0.21,0.345,0.0,0.128,0.423,127.019,235095,4
0.562,0.701,9,-4.511,0,0.0383,0.0348,0.0,0.199,0.453,130.013,172467,4
0.756,0.789,2,-7.002,1,0.0324,0.53,0.000711,0.157,0.873,127.987,176267,4
0.766,0.635,0,-8.063,1,0.112,0.0198,0.0,0.23,0.667,153.002,191973,4
0.895,0.483,5,-4.709,0,0.0881,0.565,0.0137,0.0737,0.52,98.057,149450,4
0.488,0.663,3,-12.098,0,0.0325,0.591,0.908,0.118,0.246,97.021,220074,4
0.738,0.6,0,-7.749,0,0.175,0.68,0.000132,0.0964,0.964,171.982,152175,4
0.682,0.629,6,-6.073,1,0.0252,0.143,0.0,0.0881,0.227,116.916,188676,4
0.702,0.766,4,-6.578,0,0.172,0.259,0.0,0.174,0.512,124.011,172293,4
0.716,0.936,1,-4.968,0,0.123,0.0318,0.0,0.367,0.799,81.508,164523,4
0.584,0.775,4,-6.988,0,0.0548,0.00895,9.78e-06,0.0458,0.185,103.011,251093,4
0.497,0.789,6,-0.947,1,0.0809,0.0021,0.000528,0.28,0.459,81.154,77621,4
